user_name,count(*)
torus,2
kagariharuki,2
hanachoo,2
nagas,2
Nekomimi,2
ohac,2
chaborin,2
kansuke,2
hiroumi,2
konya,2
obacan2,2
alyssum,2
wrongbee,2
N_H,2
fromdusktildawn,2
comnnocom,2
aquapple,2
columbo_fun,2
nettabo,2
uhyoo,2
etekichi,2
phyllite,2
hana_chan,2
k_katsura,2
YUKI14,2
asla,2
riko,2
Silphire,2
Terraon,2
SKAhack,2
undo,2
t33f,2
beatinaniwa,2
kana1,2
toosato,2
hetappi,2
UK_plus,2
xatz,2
zerosylph,2
twk,2
tzz,2
stonedpc,2
obally,2
ucchie,2
yuki_2021,2
checkela,2
yaketasamma,2
negipo,2
nazoking,2
k_hiroc,2
Ayas,2
hsugizak,2
yojo225,2
AtuyL,2
kaori_shape2,2
junya,2
torugatoru,2
n_yan_3,2
watalucky,2
TwitBotNews,2
oza_x86,2
ai8611,2
kururi,2
terad,2
juquimlerr,2
angelgirl33,2
popopopopo325,2
ykoubo,2
hanaaaii,2
ninkiurl,2
phone_1794,2
usaginobike,2
yoshiaki310,2
macky246,2
SOKOHAKA,2
buccchi,2
yota8,2
ayumoon_hi,2
shorty_jp,2
tachikoma_bot,2
utu_ldnsft,2
10sr,2
fn7,2
kuromog,2
usotukihituzi,2
sabotenbrother,2
ookinna,2
yumeneko,2
kaekure,2
iesod,2
Toppo_kun,2
sale_twit,2
sugizou,2
exsoy_bot,2
babie,2
tasaken,2
sakurabayuki,2
masshima,2
makonekoph,2
kawazu_huta,2
k_o_o_o_u,2
TurboRES,2
hanapig,2
BullMan_,2
bitoke,2
tokoro_ten,2
goldaxsilverax,2
satomixer,2
air_friend,2
noya_momose,2
hsylife,2
SunlineX,2
kuteken,2
biwacha,2
tn422_feed,2
closeup_jp,2
ryo_ta,2
2tommy,2
NishijimaShingo,2
Akittty,2
sola_n67,2
Yukineko105,2
hougenbot,2
Murakamidou,2
Hymen_PICOT,2
koji1964,2
tsutakichi,2
Gobu52,2
Gramrock,2
Htllto,2
19751230,2
miyataha,2
DRAGULA,2
_0380,2
denshikokuban,2
nose_megumi3636,2
_aya_sensei,2
yama_x,2
logi0_0,2
Yonshiki,2
felistail,2
koba0384,2
nemuitora,2
rennga,2
ban735,2
RavitoGravito,2
Ta_Howait,2
kuwa1023,2
kayo_kerorine,2
akerLomain,2
kkkaaammmeee,2
masato_tokumoto,2
MesserArche,2
gatch_,2
yoh596,1
dev0000,1
wazurai,1
asyurei,1
ayohata,1
jmuk,1
nilab,1
bto,1
ishibutsu,1
YukiN,1
venten,1
youzaka,1
takadeko,1
kohrin,1
hidek,1
kaede_e,1
suniti,1
yujitan,1
katune,1
dubstronica,1
mitsuki,1
ukstudio,1
mRmind,1
crowdeer,1
issei,1
trashsuite,1
R_K,1
kiwofusi,1
shao1555,1
Yuichirou,1
pigmaker,1
koyanagi3106,1
ysks,1
9232,1
mapi,1
kudan,1
sidus,1
Firstpenguin,1
shk_tw,1
Naoto_h,1
hardfrost,1
hakobe,1
namaribusi,1
natu_n,1
tomyhero,1
ohshita,1
yatmsu,1
Nuriko,1
tily,1
nakane_koto,1
akky_cc,1
fenethtool,1
aohige,1
masaka,1
mokana,1
mashori,1
toratorazero,1
tonocchi,1
bob_oka,1
yuhkiichinose,1
chattle,1
beinteractive,1
scsa0316,1
iwag,1
piyotter,1
kiomushi,1
hiyoko31,1
westerndog,1
nagahito,1
junkMA,1
sava2,1
utari_bou,1
riywo,1
sigewo,1
momota,1
zhc,1
inachou,1
juvial,1
sdkt4a,1
shozzy,1
miyamya,1
autopsy,1
collapse,1
cxx,1
arbores,1
siwon_g,1
issm,1
keyboardmania,1
poohtarou,1
noriaki,1
ushi_diver,1
kossie89,1
oichang,1
keisuke_a,1
dora_kou,1
starred,1
y_benjo,1
beyyer,1
mimorin,1
Syoichi,1
majopoi,1
beckyco,1
lirika,1
enraku,1
riverlevee,1
cmdrj0hn,1
ksakai,1
MsTweet,1
altana,1
Nkzn,1
ikedahidenori,1
yanagikage,1
akio0911,1
clownboyzuzu,1
kotarok,1
nekodemo,1
konpan39,1
genms,1
hitokuro,1
janbahr,1
huato,1
horirib,1
jamsandbiscuit,1
daiki_ti,1
moblogjp,1
Yoichi_,1
cklck,1
yosshiaqua,1
yutanpo,1
yuko985,1
mrkn,1
frog88,1
yanwalee,1
clavicle_,1
vippersnet,1
itness,1
klim0824,1
mochiken,1
datsuns,1
makimoto,1
ishihara,1
redribabarn,1
nerineko,1
tabekko,1
tkc0710,1
citybus0980,1
nisehuide,1
beaglenon,1
Seventale,1
inamiy,1
mayuko69,1
h_hisada,1
naokits,1
cutebot,1
hamie_n,1
visualzoo,1
aokomoriuta,1
yossy0626,1
15gb,1
gabletop,1
ichi_87,1
marz0318,1
undelete,1
snusmum,1
airura,1
akikoki0731,1
TrampJing,1
bsheep,1
tanukisoba,1
Michael_Kame,1
renkon_sukidesu,1
musashi0129,1
furu_nob,1
Kazkun,1
satuma,1
kalmalogy,1
twittan,1
ka_zoo_key,1
siteswappers,1
kiyancan,1
greenjamtea4two,1
yohhie,1
first_color,1
toguro_maki,1
beko021,1
utatakiyoshi,1
amazonbie,1
michiki_jp,1
MATTUN_desu,1
gabari,1
WhamBop,1
strange_chef,1
ATborderless,1
korosuke_orz,1
yoozoosato,1
tamed_public_tl,1
kurihhi,1
onego,1
xmmmxme,1
xenop,1
kenho,1
nagano_haru,1
yamasuge,1
myy_,1
kuzu_doh,1
naimono,1
Asage,1
kshikuya,1
monohamono,1
kussun,1
sinnerthesinner,1
snews,1
NEGOCHI,1
rh_tweets,1
izawonder,1
tanso1024,1
kurari,1
hide0702,1
yamadayamao,1
haru_hare,1
kozi,1
halmnm,1
besthope,1
sizuya,1
kakusenki,1
soundman1974,1
rollpan,1
noi_mage,1
mezhow,1
Aya_sensei,1
copoo4649,1
2865nya,1
McAfee_x6,1
asrite,1
inyankazuma,1
noho_z,1
sly_stone,1
muryo_twit,1
_sandbox_,1
nyannyanya,1
mochitm,1
akof,1
wtnbhrt,1
tokagex,1
varian02,1
te2ji,1
tokada,1
pupa512mb,1
morskyeve,1
SinjowKazma,1
ceekz,1
kawade,1
animarl,1
rakko0311,1
mstkm,1
NiaMoro,1
takei,1
kushiii,1
purprin,1
inukai5th,1
li_fedora,1
Tsuka726,1
jmworks,1
kusuera,1
tomotaka_s,1
ibara,1
jangeum,1
non_me,1
tubupyon,1
suto3,1
gundAMDgeeKK,1
mizune,1
kirin39,1
mobilebitch,1
uskanda,1
ichiwa_jp,1
kasei_san,1
KBertacin651RLO,1
kokogiko,1
Babybot122,1
hetare_player,1
harukon0118,1
yuicop,1
ykawashi,1
trilemma3,1
unyuho,1
kitakado,1
hipcityswingers,1
yukikohaku55746,1
cioriha,1
corpse96249,1
johnny_walker_,1
okydy,1
sefuumi,1
yumemirutakako3,1
0x0sheeeeep,1
arvined,1
brAin_1980,1
IBertacin247ios,1
flss,1
insyen,1
rossomax,1
myu_stu_pon,1
mayuzeaux,1
knt135,1
gesoyaji,1
TA_90,1
misterpopego,1
k_bow,1
unsei,1
KASUPI_KAI,1
greenspa,1
saladasalada,1
saitamanaka,1
alcyone360,1
monlapin_A,1
nabej,1
imiaq,1
senogawa,1
sakuranatu,1
bumpingbump,1
ikukona,1
dokumar,1
Clam_notchie,1
ma3822,1
strayduck_,1
karronoli,1
openidretweeter,1
TheMonday,1
as_asblo,1
tmoncm,1
bnbn0,1
sigreen1152,1
Javel_,1
numajava,1
Jeandaman,1
Pistachio_M,1
ryotaryota,1
9888macWinner4,1
TATTAIMASAKKI,1
taichanman,1
tashiro_bot,1
pianocello7,1
ecochem,1
rumble103,1
josemayfield,1
TakahiroPEJp,1
zack2791,1
ngotoh,1
aliaslog,1
saekoo,1
ainamo,1
madness933,1
KyosukeNakajima,1
pomu0325,1
kma_twi,1
anti_b,1
TWILL_E,1
makorin72,1
ESCAPECk,1
noiehoie,1
daichiman,1
penny_kid,1
Qch,1
alohabeach,1
shota0820,1
GONG_ZERO,1
SHADE1021,1
kokmaro,1
lsafl,1
rigureto,1
tomomo514,1
hit_reh,1
haru0719,1
blyric,1
Mutai,1
kamakuni,1
TWEETchocolates,1
keita7676,1
yajuu,1
qytyq793,1
monchakapi,1
masamitsuk,1
ozbeef,1
licht,1
funeeds,1
taka4sato,1
suzukei1,1
hanamidaira,1
saru_logi,1
arurun_,1
akyodayoda,1
muramasshu,1
lichfieldgarden,1
diettter,1
hiroki_daichi,1
shiki71,1
tai1066,1
bitboi,1
ponzusyoyu,1
magical_blue,1
pekelife,1
07v0012,1
9121TwtKohls,1
norton_tweet,1
mocomocotools,1
mit_gift,1
negima168,1
boxeur1102,1
yuzubo16,1
hiyokoro,1
torrentmatome,1
Tanu_king,1
kazushi11,1
kiyurino,1
RiddleRiddle,1
purikusu,1
a446,1
damegu1119,1
kanpan2gou,1
mmgrr,1
tanahiro105,1
daisuke0824,1
kentenkun,1
coohey0128,1
space_kzm,1
Francisco262000,1
kyougetsumou1po,1
kfd00601,1
Lildelpesca,1
TAIefigo,1
tumizuka,1
vitaminyuko,1
ventboys,1
merusaia,1
gambling2,1
user0721,1
hutoshia,1
korosuke820,1
www29,1
hirokiy,1
GJgizagiza,1
twiwari,1
tacke_jp,1
specky0415,1
take_sky,1
kousuke,1
shararara1126,1
YA0105,1
netdive,1
massak127,1
no100,1
donofrionist,1
Morinhoor,1
Lamb_orz,1
tatsuya07,1
sakokyohei,1
tada_sinkaigyo,1
atro_p,1
nobu1853,1
HappyRuler,1
tomato528,1
watarudoon,1
historyetcbot,1
tokyo_na,1
982Fredrick,1
shimadayasuyuki,1
kumagi,1
redtowers,1
yuxu,1
hanahana31,1
yamalci,1
patepate_chan,1
vainic,1
nemoto_uw,1
garnet_sun,1
mistano5,1
BlueFace5389,1
rosalindhi,1
totherma,1
haruhara_73,1
extreme_inc,1
Coffee_filter,1
satoken1111,1
flattest,1
kiskhscvs,1
Persimmon_f,1
robotsecretary,1
poppo55,1
Doohat,1
0664843101,1
miffy333,1
ahyask,1
khb02323,1
tyanfurupiiiya,1
ken0205,1
shwto,1
massugu23,1
Shumpeipermint,1
retsumurakami,1
Markovnikov1869,1
lo0__0ol,1
salovnrayl,1
osumo_bot,1
inayamada,1
kyujin_bot,1
DelilahJiminez,1
takets,1
ekinaka2010,1
interennhke,1
hirapaa0821,1
vivid17,1
yamatotatewaki,1
lpg32r83k,1
sgftamMARCELw,1
applitter,1
haller19,1
thomas_semxre,1
hirameki1ru,1
kohama,1
orbit_of_orion,1
y8800go,1
akizo87,1
facilpiede,1
nanaichi_natume,1
kukkuhennsyu,1
Matthew238,1
tashidesu,1
hiramekineko,1
oilflash,1
blue_in_green,1
soh4a,1
sechio_taro,1
shikaku_shogai,1
brucewagner,1
lovelylady60,1
yotena,1
Dennie_Birthasy,1
hirameki2010,1
mikisinip,1
sg_apollo,1
skks2046,1
